FavouritesCount-0,z-score-1,FavouritesCount-1,FavouritesCount,FriendsCount-0,z-score-2,FriendsCount,StatusesCount-0,z-score-3,StatusesCount,isVerified,isTranslator,location,Lang-o,Lang,isRetweetedByMe
22666,2.418526543,0.754,>0.5,17,0.001136409,0,12129,0.054410648,0.161,FALSE,FALSE,null,de,others,FALSE
3804,-0.237332311,0.126,<0.5,17,0.001136409,0,22,-0.754913078,0,FALSE,FALSE,null,en,eng,FALSE
1630,-0.543441799,0.054,<0.5,1,6.68476E-05,0,78,-0.751169613,0.001,FALSE,FALSE,null,en,eng,FALSE
809,-0.659042484,0.026,<0.5,0,0,0,571,-0.718213753,0.007,FALSE,FALSE,North West- England,en,eng,FALSE
550,-0.695510909,0.018,<0.5,0,0,0,670,-0.711595842,0.008,FALSE,FALSE,null,en,eng,FALSE
269,-0.735077039,0.008,<0.5,10,0.000668476,0,626,-0.714537136,0.008,FALSE,FALSE,null,en,eng,FALSE
246,-0.738315548,0.008,<0.5,10,0.000668476,0,26,-0.754645688,0,FALSE,FALSE,null,en,eng,FALSE
74,-0.762533962,0.002,<0.5,4,0.00026739,0,3436,-0.526695419,0.045,FALSE,FALSE,null,en,eng,FALSE
90,-0.760281086,0.002,<0.5,8,0.000534781,0,1539,-0.65350529,0.02,FALSE,FALSE,null,en,eng,FALSE
39,-0.767462127,0.001,<0.5,5,0.000334238,0,4567,-0.451090799,0.06,FALSE,FALSE,null,en,eng,FALSE
0,-0.772953512,0,<0.5,7,0.000467933,0,39313,1.87159543,0.524,FALSE,FALSE,null,en,eng,FALSE
3,-0.772531098,0,<0.5,0,0,0,26165,0.992683367,0.349,FALSE,FALSE,Club Cheezy,en,eng,FALSE
0,-0.772953512,0,<0.5,7,0.000467933,0,22789,0.767005916,0.304,FALSE,FALSE,United Kingdom,en,eng,FALSE
0,-0.772953512,0,<0.5,0,0,0,5754,-0.371742714,0.076,FALSE,FALSE,null,en,eng,FALSE
0,-0.772953512,0,<0.5,3,0.000200543,0,4636,-0.446478316,0.061,TRUE,FALSE,null,en,eng,FALSE
0,-0.772953512,0,<0.5,2,0.000133695,0,4539,-0.452962531,0.06,FALSE,FALSE,null,en,eng,FALSE
1,-0.772812707,0,<0.5,11,0.000735323,0,303,-0.736128906,0.004,FALSE,FALSE,Republic of the Philippines,en,eng,FALSE
1,-0.772812707,0,<0.5,11,0.000735323,0,302,-0.736195754,0.004,FALSE,FALSE,Republic of the Philippines,en,eng,FALSE
0,-0.772953512,0,<0.5,1,6.68476E-05,0,220,-0.741677256,0.002,FALSE,FALSE,null,en,eng,FALSE
2,-0.772671902,0,<0.5,0,0,0,55,-0.752707108,0,FALSE,FALSE,null,en,eng,FALSE
4,-0.772390293,0,<0.5,4,0.00026739,0,38,-0.753843517,0,FALSE,FALSE,null,en,eng,FALSE
30,-0.76872937,0,<0.5,9,0.000601628,0,28,-0.754511993,0,FALSE,FALSE,null,en,eng,FALSE
21,-0.769996612,0,<0.5,18,0.001203257,0,20,-0.755046773,0,FALSE,FALSE,Richmond Hill- Ontario,en,eng,FALSE
29,-0.768870175,0,<0.5,4,0.00026739,0,11,-0.755648402,0,FALSE,FALSE,South Africa,en,eng,FALSE
0,-0.772953512,0,<0.5,17,0.001136409,0,1,-0.756316877,0,FALSE,FALSE,null,en,eng,FALSE
1,-0.772812707,0,<0.5,7,0.000467933,0,1,-0.756316877,0,FALSE,FALSE,null,en,eng,FALSE
1430,-0.571602745,0.047,<0.5,28,0.001871732,0.001,595,-0.716609411,0.007,FALSE,FALSE,null,en,eng,FALSE
1009,-0.630881537,0.033,<0.5,33,0.00220597,0.001,484,-0.724029493,0.006,FALSE,FALSE,Bayonne- France,fr,others,FALSE
699,-0.674531004,0.023,<0.5,33,0.00220597,0.001,2622,-0.581109354,0.034,FALSE,FALSE,Pittsburgh- PA,en,eng,FALSE
626,-0.68480975,0.02,<0.5,32,0.002139123,0.001,2241,-0.606578284,0.029,FALSE,FALSE,null,en,eng,FALSE
622,-0.685372969,0.02,<0.5,30,0.002005428,0.001,1073,-0.684656265,0.014,FALSE,FALSE,Toronto- Canada,en,eng,FALSE
201,-0.744651761,0.006,<0.5,21,0.001403799,0.001,489,-0.723695255,0.006,FALSE,FALSE,null,en,eng,FALSE
126,-0.755212116,0.004,<0.5,34,0.002272818,0.001,538,-0.720419724,0.007,FALSE,FALSE,Fort Hood- TX,en,eng,FALSE
113,-0.757042577,0.003,<0.5,31,0.002072275,0.001,228,-0.741142475,0.003,FALSE,FALSE,Romford- London,en,eng,FALSE
65,-0.763801204,0.002,<0.5,36,0.002406513,0.001,6,-0.755982639,0,FALSE,FALSE,null,fr,others,FALSE
54,-0.765350056,0.001,<0.5,32,0.002139123,0.001,1888,-0.630175482,0.025,FALSE,FALSE,Wales- United Kingdom,en,eng,FALSE
54,-0.765350056,0.001,<0.5,32,0.002139123,0.001,1887,-0.63024233,0.025,FALSE,FALSE,Wales- United Kingdom,en,eng,FALSE
54,-0.765350056,0.001,<0.5,32,0.002139123,0.001,1886,-0.630309178,0.025,FALSE,FALSE,Wales- United Kingdom,en,eng,FALSE
50,-0.765913275,0.001,<0.5,27,0.001804885,0.001,62,-0.752239175,0,FALSE,FALSE,null,en,eng,FALSE
7,-0.771967879,0,<0.5,28,0.001871732,0.001,11964,0.043380796,0.159,FALSE,FALSE,Jacksonville,en,eng,FALSE
0,-0.772953512,0,<0.5,29,0.00193858,0.001,2660,-0.578569146,0.035,TRUE,FALSE,null,en,eng,FALSE
2,-0.772671902,0,<0.5,29,0.00193858,0.001,1339,-0.666874807,0.017,FALSE,FALSE,The World,en,eng,FALSE
20,-0.770137417,0,<0.5,23,0.001537494,0.001,220,-0.741677256,0.002,FALSE,FALSE,Tottenham Hotspur,en,eng,FALSE
21,-0.769996612,0,<0.5,29,0.00193858,0.001,186,-0.743950074,0.002,FALSE,FALSE,null,en,eng,FALSE
10,-0.771545464,0,<0.5,21,0.001403799,0.001,67,-0.751904937,0,FALSE,FALSE,null,es,others,FALSE
28,-0.769010979,0,<0.5,34,0.002272818,0.001,39,-0.753776669,0,FALSE,FALSE,Broad Green- Croydon,en,eng,FALSE
8,-0.771827074,0,<0.5,28,0.001871732,0.001,24,-0.754779383,0,FALSE,FALSE,Indonesia,en,eng,FALSE
18144,1.781807545,0.603,>0.5,53,0.003542922,0.002,15903,0.306693438,0.212,FALSE,FALSE,San Antonio,fr,others,FALSE
6128,0.089897886,0.203,<0.5,42,0.002807599,0.002,6612,-0.314387485,0.088,FALSE,FALSE,null,fr,others,FALSE
2085,-0.479375646,0.069,<0.5,50,0.003342379,0.002,2779,-0.570614283,0.037,FALSE,FALSE,Nairobi,en,eng,FALSE
1507,-0.560760781,0.05,<0.5,42,0.002807599,0.002,1766,-0.638330888,0.023,FALSE,FALSE,earth,en,eng,FALSE
724,-0.671010886,0.024,<0.5,37,0.002473361,0.002,1408,-0.662262324,0.018,FALSE,FALSE,null,en,eng,FALSE
704,-0.67382698,0.023,<0.5,41,0.002740751,0.002,1790,-0.636726546,0.023,FALSE,FALSE,TOKYO,ja,others,FALSE
605,-0.687766649,0.02,<0.5,39,0.002607056,0.002,274,-0.738067486,0.003,FALSE,FALSE,null,en,eng,FALSE
602,-0.688189063,0.02,<0.5,39,0.002607056,0.002,271,-0.738268029,0.003,FALSE,FALSE,null,en,eng,FALSE
486,-0.704522412,0.016,<0.5,39,0.002607056,0.002,1078,-0.684322027,0.014,FALSE,FALSE,Oberbergischer Kreis- Nordrhein-Westfalen,de,others,FALSE
443,-0.710577016,0.014,<0.5,52,0.003476074,0.002,1465,-0.658452011,0.019,FALSE,FALSE,Bourges/Moulins,fr,others,FALSE
320,-0.727895998,0.01,<0.5,46,0.003074989,0.002,1213,-0.675297603,0.016,FALSE,FALSE,null,en,eng,FALSE
218,-0.74225808,0.007,<0.5,37,0.002473361,0.002,163,-0.745487568,0.002,FALSE,FALSE,null,en,eng,FALSE
185,-0.746904636,0.006,<0.5,43,0.002874446,0.002,774,-0.704643693,0.01,FALSE,FALSE,Lordelo,pt,others,FALSE
75,-0.762393157,0.002,<0.5,39,0.002607056,0.002,283,-0.737465858,0.003,FALSE,FALSE,Papua- Indonesia,en,eng,FALSE
63,-0.764082814,0.002,<0.5,50,0.003342379,0.002,153,-0.746156044,0.002,FALSE,FALSE,chelmsford,en,eng,FALSE
68,-0.76337879,0.002,<0.5,52,0.003476074,0.002,35,-0.754044059,0,FALSE,FALSE,Durban- South Africa,en,eng,FALSE
74,-0.762533962,0.002,<0.5,39,0.002607056,0.002,7,-0.755915792,0,FALSE,FALSE,null,he,others,FALSE
40,-0.767321323,0.001,<0.5,49,0.003275532,0.002,286,-0.737265315,0.003,FALSE,FALSE,Whitworth- England,en,eng,FALSE
36,-0.767884541,0.001,<0.5,48,0.003208684,0.002,56,-0.75264026,0,FALSE,FALSE,Toronto- Ontario,en,eng,FALSE
40,-0.767321323,0.001,<0.5,47,0.003141837,0.002,22,-0.754913078,0,FALSE,FALSE,Thailand,th,others,FALSE
3,-0.772531098,0,<0.5,38,0.002540208,0.002,1486,-0.657048212,0.019,FALSE,FALSE,null,en,eng,FALSE
12,-0.771263855,0,<0.5,49,0.003275532,0.002,53,-0.752840803,0,FALSE,FALSE,London ,en-gb,others,FALSE
3,-0.772531098,0,<0.5,50,0.003342379,0.002,49,-0.753108193,0,FALSE,FALSE,Exeter- England,en,eng,FALSE
1,-0.772812707,0,<0.5,39,0.002607056,0.002,9,-0.755782097,0,FALSE,FALSE,Saint-Germain-des-Bois- France,en,eng,FALSE
6472,0.138334714,0.215,<0.5,60,0.004010855,0.003,2218,-0.608115779,0.029,FALSE,FALSE,null,en,eng,FALSE
5208,-0.039642468,0.173,<0.5,68,0.004545636,0.003,5542,-0.385914403,0.073,FALSE,FALSE,null,en,eng,FALSE
4791,-0.098358041,0.159,<0.5,55,0.003676617,0.003,9408,-0.127481634,0.125,FALSE,FALSE,Adderbury- Banbury- England ,en,eng,FALSE
4787,-0.09892126,0.159,<0.5,55,0.003676617,0.003,9407,-0.127548482,0.125,FALSE,FALSE,Adderbury- Banbury- England ,en,eng,FALSE
2269,-0.453467575,0.075,<0.5,61,0.004077703,0.003,3109,-0.54855458,0.041,FALSE,FALSE,Lenoir- NC,en,eng,FALSE
1387,-0.577657349,0.046,<0.5,63,0.004211398,0.003,4744,-0.439258776,0.063,FALSE,FALSE,null,en,eng,FALSE
931,-0.641864306,0.03,<0.5,57,0.003810312,0.003,491,-0.72356156,0.006,FALSE,FALSE,Florida- USA,en,eng,FALSE
696,-0.674953418,0.023,<0.5,62,0.00414455,0.003,37,-0.753910364,0,FALSE,FALSE,West Midlands- England,en,eng,FALSE
695,-0.675094223,0.023,<0.5,62,0.00414455,0.003,35,-0.754044059,0,FALSE,FALSE,West Midlands- England,en,eng,FALSE
576,-0.691849986,0.019,<0.5,72,0.004813026,0.003,1037,-0.687062778,0.013,FALSE,FALSE,null,en,eng,FALSE
257,-0.736766696,0.008,<0.5,71,0.004746179,0.003,1428,-0.660925372,0.019,FALSE,FALSE,Cardiff,en,eng,FALSE
256,-0.7369075,0.008,<0.5,64,0.004278246,0.003,458,-0.725767531,0.006,FALSE,FALSE,null,en,eng,FALSE
186,-0.746763832,0.006,<0.5,72,0.004813026,0.003,384,-0.730714252,0.005,FALSE,FALSE,null,en,eng,FALSE
141,-0.753100045,0.004,<0.5,69,0.004612483,0.003,5066,-0.417733854,0.067,FALSE,FALSE,null,en,eng,FALSE
57,-0.764927642,0.001,<0.5,65,0.004345093,0.003,430,-0.727639263,0.005,FALSE,FALSE,Michigan- USA,en,eng,FALSE
36,-0.767884541,0.001,<0.5,69,0.004612483,0.003,124,-0.748094624,0.001,FALSE,FALSE,Paris- France,en,eng,FALSE
1,-0.772812707,0,<0.5,56,0.003743465,0.003,60019,3.255741549,0.801,FALSE,FALSE,Amsterdam,nl,others,FALSE
15,-0.770841441,0,<0.5,63,0.004211398,0.003,6034,-0.35302539,0.08,FALSE,FALSE,null,en,eng,FALSE
1,-0.772812707,0,<0.5,59,0.003944008,0.003,151,-0.74628974,0.002,FALSE,FALSE,null,en,eng,FALSE
15,-0.770841441,0,<0.5,56,0.003743465,0.003,35,-0.754044059,0,FALSE,FALSE,null,en,eng,FALSE
7,-0.771967879,0,<0.5,66,0.004411941,0.003,6,-0.755982639,0,FALSE,FALSE,null,pt,others,FALSE
